YYYYMMDD,HH,T,Q,thermometer2
20250501,1,94,0,248
20250501,2,88,0,235
20250501,3,86,0,234
20250501,4,82,0,227
20250501,5,95,9,224
20250501,6,138,52,221
20250501,7,187,113,219
20250501,8,214,175,217
20250501,9,228,228,217
20250501,10,242,270,222
20250501,11,251,297,227
20250501,12,262,307,232
20250501,13,265,300,237
20250501,14,274,272,248
20250501,15,264,214,244
20250501,16,268,161,249
20250501,17,262,119,258
20250501,18,247,53,282
20250501,19,195,8,306
20250501,20,163,0,319
20250501,21,151,0,330
20250501,22,146,0,298
20250501,23,135,0,278
20250501,24,127,0,259
20250502,1,128,0,251
20250502,2,118,0,246
20250502,3,111,0,250
20250502,4,112,0,237
20250502,5,122,9,235
20250502,6,164,49,232
20250502,7,198,100,229
20250502,8,215,178,227
20250502,9,235,173,228
20250502,10,247,201,232
20250502,11,247,216,239
20250502,12,251,237,244
20250502,13,237,270,257
20250502,14,233,259,258
20250502,15,231,219,261
20250502,16,221,171,264
20250502,17,215,114,270
20250502,18,192,47,290
20250502,19,174,15,314
20250502,20,160,0,331
20250502,21,148,0,328
20250502,22,135,0,295
20250502,23,121,0,276
20250502,24,110,0,256
20250531,1,106,0,225
20250531,2,100,0,229
20250531,3,102,0,218
20250531,4,106,4,215
20250531,5,129,29,213
20250531,6,148,64,218
20250531,7,177,123,209
20250531,8,193,146,209
20250531,9,207,190,210
20250531,10,213,178,212
20250531,11,228,258,217
20250531,12,236,257,221
20250531,13,241,330,227
20250531,14,251,292,239
20250531,15,254,239,234
20250531,16,246,179,237
20250531,17,242,62,244
20250531,18,241,32,255
20250531,19,227,15,266
20250531,20,217,1,269
20250531,21,207,0,254
20250531,22,202,0,247
20250531,23,194,0,242
20250531,24,194,0,238
20250612,1,125,0,226
20250612,2,123,0,219
20250612,3,116,0,216
20250612,4,118,4,212
20250612,5,129,34,210
20250612,6,147,82,207
20250612,7,167,140,205
20250612,8,188,198,203
20250612,9,205,250,204
20250612,10,221,291,206
20250612,11,237,320,209
20250612,12,245,332,213
20250612,13,251,326,216
20250612,14,260,300,220
20250612,15,262,264,223
20250612,16,269,211,227
20250612,17,266,134,234
20250612,18,264,95,246
20250612,19,254,45,258
20250612,20,227,9,264
20250612,21,222,0,266
20250612,22,208,0,265
20250612,23,198,0,255
20250612,24,204,0,245
20250613,1,196,0,240
20250613,2,181,0,236
20250613,3,165,0,233
20250613,4,158,3,231
20250613,5,192,28,227
20250613,6,210,79,225
20250613,7,228,134,224
20250613,8,246,185,223
20250613,9,265,205,224
20250613,10,292,284,227
20250613,11,303,302,240
20250613,12,309,317,237
20250613,13,311,306,250
20250613,14,302,250,255
20250613,15,312,211,259
20250613,16,312,206,266
20250613,17,308,149,264
20250613,18,297,77,269
20250613,19,286,28,284
20250613,20,270,8,292
20250613,21,259,0,292
20250613,22,245,0,282
20250613,23,238,0,273
20250613,24,227,0,266
20250614,1,220,0,268
20250614,2,234,0,256
20250614,3,208,0,253
20250614,4,192,2,254
20250614,5,197,12,248
20250614,6,230,79,247
20250614,7,240,92,245
20250614,8,260,183,243
20250614,9,265,216,244
20250614,10,263,104,247
20250614,11,266,151,257
20250614,12,262,124,253
20250614,13,247,66,256
20250614,14,246,56,261
20250614,15,240,104,272
20250614,16,249,96,279
20250614,17,237,83,270
20250614,18,227,27,273
20250614,19,216,11,273
20250614,20,206,2,288
20250614,21,196,0,269
